intergenic	intron	exon
56.68352601	39.80852601	3.507947977
56.47224631	40.23923099	3.288522694
56.53415251	40.07589447	3.389953018
56.10046982	40.55655945	3.342970726
56.397933	40.07516352	3.52690348
56.0575394	40.49081972	3.451640885
56.33874056	40.42414827	3.237111167
55.93293829	40.5369273	3.530134412
55.72621156	40.88034404	3.3934444
56.42841656	40.2290959	3.342487533
56.32815323	40.27105168	3.400795085
56.16284951	40.36558052	3.471569973
56.15423533	40.34403007	3.501734605
56.18517582	40.25152687	3.563297315
56.14611938	40.55138026	3.302500361
56.16240428	40.43129606	3.406299668
56.49503162	39.98554652	3.519421861
56.06591739	40.51895486	3.415127751
56.06591739	40.25875465	3.675327961
56.33380317	40.27250714	3.393689689
56.09712035	40.4668136	3.436066048
55.60252936	40.75880759	3.638663053
56.31660706	40.28033669	3.403056248
56.62654957	39.87856446	3.494885973
55.6928636	40.83107498	3.476061427
56.48984606	40.0737154	3.436438534
56.19849646	40.35709122	3.444412317
56.38282492	40.16191991	3.455255168
55.8787397	40.68145686	3.43980344
56.43582241	40.27311152	3.291066074
56.56886833	40.13947102	3.291660645
55.88596618	40.5369273	3.577106518
55.97557009	40.55870767	3.465722236
56.65510514	39.89088807	3.454006792
56.64522657	39.8930404	3.461733035
56.1621563	40.33312859	3.504715106
56.09280139	40.35848511	3.548713501
56.25948681	40.21322732	3.527285869
56.26716785	40.17637704	3.556455111
56.1621563	40.22473534	3.613108357
56.24186786	40.42576261	3.332369524
56.38801547	40.21829484	3.393689689
56	40.59981933	3.400180668
56.25135506	40.2905254	3.458119535
56.00794798	40.68280347	3.309248555
56.23350804	40.3397795	3.426712453
56.68184446	39.95374386	3.36441168
55.86321573	40.72079237	3.415991903
56.29471706	40.3700224	3.335260533
56.16438356	40.29349044	3.542125998
56.4918874	40.13659524	3.371517363
55.87523042	40.68023277	3.444536813
56.03021432	40.44237233	3.527413351
55.92614006	40.73859941	3.335260533
56.15557001	40.41784139	3.426588592
56.30962706	40.23200347	3.458369471
55.89000506	40.72775891	3.382236034
56.03136745	40.39462272	3.574009829
56.34372854	40.03179995	3.624471507
56.35391065	40.37877693	3.267312419
56.55127557	40.0520344	3.396690034
56.26535627	40.3418124	3.392831334
56.32927402	40.18357244	3.487153543
56.24864474	40.46259487	3.28876039
56.38709211	40.10768619	3.505221696
56.32815323	40.31441995	3.357426816
55.97182081	40.53106936	3.497109827
56.37217706	40.2601626	3.367660343
55.80286169	40.66339066	3.533747651
55.72177055	40.61427281	3.66395664
56.29313772	40.12936798	3.577494309
55.83538084	40.73926868	3.425350484
56.13572306	40.3375009	3.526776035
56.34530606	40.1965744	3.458119535
55.90733312	40.73150457	3.361162312
55.96343534	40.45958738	3.576977274
56.61762048	40.02386031	3.358519215
56.04899906	40.4350654	3.515935535
56.11042856	40.2435499	3.646021536
56.64244659	39.82937498	3.528178433
56.00014458	40.74315044	3.256704981
56.21770084	40.35271584	3.429583318
56.40673556	40.2182554	3.375009034
56.09509358	40.47980345	3.42510297
56.21883356	40.2616174	3.519549035
56.1377516	40.41123116	3.451017237
55.75755385	40.68960532	3.552840827
56.29696532	40.31791908	3.385115607
56.17819207	40.38225305	3.439554881
56.12171148	40.48496675	3.393321769
56.10611153	40.29419206	3.599696411
56.42026158	40.15824843	3.421489992
56.65172439	39.89227099	3.456004627
56.16463106	40.3447279	3.490641035
56.31980338	40.26818954	3.412007084
56.06361829	40.49159588	3.44478583
55.90084556	40.61212691	3.487027535
56.16982836	40.4263776	3.403794038
56.45103	40.18792917	3.361040838
56.04105678	40.60139506	3.357548159
55.72099747	40.79147091	3.487531623
55.94420756	40.57237841	3.483414035
56.38440132	40.2905779	3.325020781
56.18066847	40.31074977	3.508581752
56.14700781	40.36571263	3.487279561
56.08513406	40.54708391	3.367782034
56.41034906	40.2218689	3.367782034
55.96486154	40.57190369	3.463234762
56.46723029	40.20160416	3.331165547
56.46612466	40.10117435	3.432700994
56.04089891	40.41115688	3.547944216
56.40043368	40.25659559	3.342970726
56.70050945	39.88149005	3.418000506
56.31685458	40.35125759	3.331887829
56.20619897	40.42337981	3.370421212
56.38801547	40.22552315	3.386461383
56.24006359	40.43936985	3.320566556
56.05420054	40.39385727	3.551942186
56.13616652	40.36209887	3.501734605
55.57000903	40.92140921	3.508581752
55.79924845	40.90186443	3.298887122
56.16121453	40.67594433	3.162841135
56.2005277	40.41999494	3.379477356
56.06618975	40.50148132	3.432328926
56.38847725	40.28987603	3.321646727
56.4551106	39.95952002	3.58536938
56.52535328	40.20383823	3.270808486
55.9671823	40.60286251	3.429955183
56.63799957	39.9544699	3.407530534
56.02457535	40.57462956	3.400795085
55.74629563	40.64329599	3.610408385
56.21002421	40.37870849	3.4112673
56.45009756	40.1351449	3.414757534
56.21703634	40.36558052	3.417383137
55.88554086	40.69296915	3.421489992
56.00375913	40.50459047	3.491650401
55.7719406	40.56798063	3.660078766
56.51891189	39.95881652	3.522271594
56.16527492	40.1836388	3.651086289
56.10549133	40.44797688	3.446531792
56.27980922	40.34542564	3.374765139
56.58645856	40.03902016	3.37452128
56.20506521	40.34466563	3.450269157
55.74588031	40.90054929	3.353570396
56.47445625	40.08237589	3.443167859
55.92901803	40.49297047	3.578011493
56.4816822	40.16908736	3.349230436
